year,competition_name,event_name,final_group,crew_name,organization,rank,time
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,女子ペア,Final A,富山国際大学,富山国際大学,5,08:01.61
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,女子ペア,Final A,早稲田大学,早稲田大学,6,08:03.69
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子フォア,Final B,日本大学,日本大学,1,06:30.07
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子フォア,Final B,慶應義塾大学,慶應義塾大学,2,06:32.29
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子フォア,Final B,中央大学,中央大学,3,06:32.63
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子フォア,Final B,東北大学,東北大学,4,06:34.07
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子フォア,Final B,一橋大学,一橋大学,5,06:40.16
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子フォア,Final B,東京経済大学,東京経済大学,6,06:42.84
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子フォア,Final A,立教大学,立教大学,1,06:14.93
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子フォア,Final A,戸田中央総合病院RC,戸田中央総合病院RC,2,06:16.84
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子フォア,Final A,関西電力,関西電力,3,06:17.49
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子フォア,Final A,京都大学,京都大学,4,06:19.69
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子フォア,Final A,中部電力,中部電力,5,06:24.11
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子フォア,Final A,仙台大学,仙台大学,6,06:33.57
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子クォドルプル,Final B,東京経済大学,東京経済大学,1,06:20.03
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子クォドルプル,Final B,立命館大学,立命館大学,2,06:20.51
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子クォドルプル,Final B,龍谷大学,龍谷大学,3,06:23.10
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子クォドルプル,Final B,一橋大学,一橋大学,4,06:24.59
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子クォドルプル,Final B,東海大学,東海大学,5,06:29.70
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子クォドルプル,Final B,慶應義塾大学,慶應義塾大学,6,06:32.58
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子クォドルプル,Final A,NTT東日本,NTT東日本,1,06:07.66
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子クォドルプル,Final A,仙台大学,仙台大学,2,06:10.27
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子クォドルプル,Final A,富山国際大学,富山国際大学,3,06:12.00
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子クォドルプル,Final A,明治大学,明治大学,4,06:13.79
2021,第99回全日本選手権大会 兼 第48回全日本大学選手権,男子クォドルプル,Final A,日本大学,日本大学,5,06:17.77
